-2.54,0.65,8.46,6780
-2.69,0.25,8.89,6811
-3.30,0.15,9.25,6843
-3.07,0.24,8.99,6874
-2.85,0.56,10.01,6904
-2.98,0.42,11.36,6936
-3.44,-0.09,11.55,6968
-2.91,-0.12,10.28,6999
-3.36,-1.36,12.46,7030
-3.17,-1.63,11.29,7061
-0.28,0.90,9.23,7093
1.68,-0.24,8.79,7123
-0.37,-0.17,9.53,7155
-0.40,0.68,8.35,7186
-1.20,0.77,7.62,7218
-0.72,1.70,5.75,7248
-0.61,2.76,5.56,7280
-0.83,1.43,7.61,7311
-2.86,0.86,11.51,7343
-4.36,0.22,12.35,7377
-6.06,-0.02,12.49,7408
-6.52,0.48,12.22,7440
-5.10,0.56,12.00,7472
-5.07,-0.66,12.60,7502
-5.94,-2.26,12.03,7534
-4.93,-1.41,9.70,7565
-4.58,-1.28,8.13,7597
-4.73,-1.21,7.46,7627
-4.55,-0.57,7.67,7659
-3.55,-0.19,7.09,7691
-3.80,-0.54,7.36,7721
-3.81,-0.17,7.72,7753
-3.84,-0.95,8.67,7784
-2.70,-1.66,9.35,7816
-2.63,-1.28,9.46,7846
-1.52,-1.16,9.08,7878
-1.15,-1.67,9.17,7909
-1.35,-1.54,8.75,7941
-0.91,-1.49,8.01,7971
-1.47,-0.43,7.77,8003
-3.54,-1.12,7.76,8034
-5.54,-1.75,11.08,8069
-4.74,-2.76,12.55,8100
-3.95,-3.10,11.82,8132
-4.85,-1.94,10.65,8163
-2.95,-1.24,9.06,8195
-0.44,0.10,7.86,8225
-1.75,0.05,6.56,8257
-3.53,0.14,6.03,8288
-3.69,-0.06,6.64,8320
-3.62,0.13,7.26,8350
-4.82,-0.11,6.96,8382
-5.28,-0.37,7.82,8413
-3.85,-0.46,9.09,8444
-2.54,-0.22,9.49,8475
-4.19,0.06,8.37,8507
-5.49,0.02,7.62,8538
-4.60,1.67,7.61,8569
-2.19,2.14,9.07,8600
-1.93,1.71,10.06,8632
-2.14,2.97,9.01,8663
-1.41,3.21,8.46,8694
-1.99,1.24,9.14,8725
-3.93,0.42,8.50,8757
-4.61,-1.39,8.59,8785
-5.31,-1.67,9.20,8817
-4.26,-2.45,9.85,8848
-5.00,-3.46,10.12,8880
-4.44,-4.18,11.29,8911
-2.93,-4.23,12.14,8942
-1.89,-3.45,11.40,8974
0.14,-2.17,9.51,9005
0.44,-1.86,8.14,9036
-1.75,-1.28,8.47,9067
-3.02,-0.50,11.29,9099
-2.55,-0.64,10.28,9131
-2.07,-1.17,8.19,9161
-4.27,0.95,9.52,9193
-4.21,0.82,10.20,9224
-3.31,0.77,9.09,9255
-4.09,0.44,7.30,9286
-3.09,0.81,5.68,9323
-3.67,0.56,4.52,9355
-7.20,0.84,5.91,9385
-8.82,-1.15,7.68,9417
-9.26,-1.77,11.60,9448
-6.41,-3.52,12.57,9483
-5.30,-3.17,11.29,9515
-5.73,-2.77,10.15,9545
-4.77,-1.42,8.91,9577
-2.58,-0.73,7.77,9608
-1.78,0.12,6.71,9639
-2.94,0.65,4.56,9670
-4.00,0.63,5.35,9702
-3.97,0.17,6.25,9733
-3.53,-0.41,6.09,9764
-3.26,-0.26,6.45,9795
-4.52,-0.23,8.44,9827
-4.92,-1.92,9.48,9858
-3.41,-1.94,10.13,9889
-3.40,-2.06,10.25,9921
-6.09,-1.97,11.39,9952
-4.91,-2.16,11.85,9984
-2.80,-1.16,11.31,10014
-3.25,-0.61,11.26,10046
-4.37,-1.45,10.21,10078
-4.39,-1.26,9.73,10108
-3.43,-0.91,8.56,10140
-4.13,-0.16,7.87,10175
-3.77,-0.05,6.53,10207
-3.31,-0.08,5.94,10237
-3.53,0.33,6.11,10269
-3.05,0.26,6.28,10300
-3.82,0.67,6.34,10332
-4.90,0.84,6.69,10363
-6.59,1.07,7.83,10394
-5.71,-0.40,9.52,10426
-3.23,-0.78,11.95,10457
-4.09,-2.20,12.51,10488
-8.06,-3.19,13.71,10520
-5.70,-2.92,13.24,10551
-0.09,-1.33,10.62,10583
0.37,0.49,7.83,10614
-2.05,1.59,8.15,10645
-3.67,1.73,8.49,10677
-3.49,1.61,6.78,10707
-2.90,1.85,5.61,10739
-2.65,2.72,5.33,10770
-2.07,2.57,7.56,10802
-3.12,1.29,7.53,10836
-2.68,0.82,6.27,10868
-3.96,-0.69,8.54,10899
-8.34,-1.29,12.38,10931
-8.66,-2.10,11.14,10961
-5.56,-1.11,10.19,10993
-3.30,-0.20,10.53,11024
-5.56,0.12,10.81,11056
-5.47,0.05,10.08,11087
-2.04,0.61,9.36,11118
1.35,1.07,8.74,11150
0.69,1.47,8.64,11181
-2.07,1.13,7.05,11212
-3.10,1.27,5.41,11243
-2.28,1.24,4.80,11274
-1.84,1.50,5.59,11305
-3.92,1.77,7.56,11336
-7.71,2.00,9.75,11368
-7.90,1.73,10.59,11399
-8.64,1.60,12.16,11430
-7.87,1.95,13.20,11462
-6.12,1.08,12.43,11493
-5.42,0.14,11.25,11528
-4.75,-0.44,9.76,11558
-2.51,-0.24,7.65,11590
-2.75,-0.01,6.61,11621
-3.72,0.09,6.60,11652
-3.44,0.29,6.95,11682
-2.08,0.77,6.25,11713
-3.00,0.70,4.45,11744
-3.99,0.82,6.05,11774
-2.96,0.68,8.95,11805
-2.09,-0.73,9.69,11837
-1.28,-1.48,10.48,11868
-1.30,-2.01,11.06,11898
-2.83,-1.90,11.00,11929
-3.16,-2.04,9.60,11960
-3.70,-1.70,9.30,11992
-4.23,-0.70,9.43,12022
-5.21,-1.01,10.18,12053
-6.34,-1.37,11.67,12084
-5.41,-1.18,10.41,12114
-3.47,-0.24,8.26,12146
-4.12,0.26,7.65,12180
-3.25,0.41,7.11,12211
-2.24,-0.01,6.47,12242
-3.40,0.59,6.59,12273
-3.44,0.91,7.46,12304
-2.90,1.07,8.39,12335
-4.35,0.75,9.73,12365
-6.14,0.29,10.08,12397
-5.95,-0.40,11.48,12428
-4.48,-0.21,10.36,12459
-3.55,-0.16,10.20,12489
-3.04,-0.15,10.45,12521
-3.02,-0.66,10.82,12552
-4.88,-1.86,10.28,12582
-5.55,-1.24,9.73,12614
-4.12,-0.85,8.75,12645
-3.82,-0.53,7.98,12676
-3.40,-0.33,7.87,12707
-2.62,-0.26,6.26,12738
-2.37,-0.12,7.04,12769
-1.55,0.16,8.18,12800
-0.87,-0.11,8.19,12830
-2.13,-1.23,10.55,12865
-1.24,-0.94,10.03,12896
-1.40,-0.97,11.46,12928
-2.06,-0.74,9.73,12958
-2.41,-0.10,8.59,12989
-2.90,-0.11,8.06,13020
-2.97,-0.65,8.18,13051
-2.04,-0.42,8.31,13082
-1.93,-1.16,7.88,13113
-2.68,0.32,8.85,13144
-1.74,1.21,7.88,13175
-1.27,0.93,6.54,13206
